,date,actions
0,2022-10-04,[-100]
1,2022-10-05,[-100]
2,2022-10-06,[-100]
3,2022-10-07,[-100]
4,2022-10-10,[-100]
5,2022-10-11,[-100]
6,2022-10-12,[-100]
7,2022-10-13,[-100]
8,2022-10-14,[-100]
9,2022-10-17,[-100]
10,2022-10-18,[-100]
11,2022-10-19,[-100]
12,2022-10-20,[-100]
13,2022-10-21,[-100]
14,2022-10-24,[-100]
15,2022-10-25,[-100]
16,2022-10-26,[-100]
17,2022-10-27,[-100]
18,2022-10-28,[-100]
19,2022-10-31,[-100]
20,2022-11-01,[-100]
21,2022-11-02,[-100]
22,2022-11-03,[-100]
23,2022-11-04,[-100]
24,2022-11-07,[-100]
25,2022-11-08,[-100]
26,2022-11-09,[-100]
27,2022-11-10,[-3245]
28,2022-11-11,[0]
29,2022-11-14,[0]
30,2022-11-15,[0]
31,2022-11-16,[0]
32,2022-11-17,[0]
33,2022-11-18,[0]
34,2022-11-21,[0]
35,2022-11-22,[0]
36,2022-11-23,[0]
37,2022-11-25,[0]
38,2022-11-28,[0]
39,2022-11-29,[0]
40,2022-11-30,[0]
41,2022-12-01,[0]
42,2022-12-02,[0]
43,2022-12-05,[0]
44,2022-12-06,[0]
45,2022-12-07,[0]
46,2022-12-08,[0]
47,2022-12-09,[0]
48,2022-12-12,[0]
49,2022-12-13,[0]
50,2022-12-14,[0]
51,2022-12-15,[0]
52,2022-12-16,[0]
53,2022-12-19,[0]
54,2022-12-20,[0]
55,2022-12-21,[0]
56,2022-12-22,[0]
57,2022-12-23,[0]
58,2022-12-27,[0]
59,2022-12-28,[0]
60,2022-12-29,[0]
61,2022-12-30,[0]
